League,Season,Stage,Player,Team,GP,MIN,FGM,FGA,3PM,3PA,FTM,FTA,ORB,DRB,REB,AST,STL,BLK,PTS,TOV,PF,PTS_per_min,REB_per_min,AST_per_min,STL_per_min,BLK_per_min,TOV_per_min,3P_pct,FT_pct,FG_pct
NBA,2016 - 2017,Playoffs,Russell Westbrook,OKC,5,194.5,59,152,13,49,56,70,9,49,58,54,12,2,187,30,16,0.961439588688946,0.2982005141388175,0.2776349614395887,0.061696658097686374,0.010282776349614395,0.15424164524421594,0.2653061224489796,0.8,0.3881578947368421
NBA,2016 - 2017,Playoffs,Chris Paul,LAC,7,260.2,67,135,14,38,29,33,4,31,35,69,12,1,177,19,24,0.6802459646425827,0.1345119139123751,0.26518063028439665,0.046118370484242895,0.0038431975403535744,0.07302075326671792,0.3684210526315789,0.8787878787878788,0.4962962962962963
NBA,2016 - 2017,Playoffs,Kelly Olynyk,BOS,18,346.4,64,125,15,47,22,30,14,43,57,34,13,14,165,22,47,0.4763279445727483,0.16454965357967669,0.09815242494226328,0.03752886836027714,0.04041570438799077,0.06351039260969978,0.3191489361702128,0.7333333333333333,0.512
NBA,2016 - 2017,Playoffs,Patty Mills,SAS,16,416.4,57,140,32,89,19,22,5,29,34,43,13,1,165,21,33,0.3962536023054755,0.08165225744476465,0.10326609029779059,0.031219980787704132,0.0024015369836695487,0.05043227665706052,0.3595505617977528,0.8636363636363636,0.40714285714285714
NBA,2016 - 2017,Playoffs,Otto Porter,WAS,13,428.1,58,109,11,39,31,35,15,74,89,23,22,7,158,10,26,0.36907264657790234,0.20789535155337538,0.053725765008175656,0.051389862181733234,0.01635131978509694,0.023359028264424198,0.28205128205128205,0.8857142857142857,0.5321100917431193
NBA,2016 - 2017,Playoffs,Jonathon Simmons,SAS,15,305.7,62,136,13,37,21,31,9,19,28,29,9,2,158,11,30,0.5168465816159634,0.09159306509649984,0.09486424599280341,0.029440628066732092,0.006542361792607132,0.035982989859339225,0.35135135135135137,0.6774193548387096,0.45588235294117646
NBA,2016 - 2017,Playoffs,Markieff Morris,WAS,13,373.2,59,145,14,38,25,31,18,65,83,22,12,17,157,21,46,0.4206859592711683,0.22240085744908897,0.05894962486602358,0.03215434083601286,0.04555198285101822,0.05627009646302251,0.3684210526315789,0.8064516129032258,0.4068965517241379
NBA,2016 - 2017,Playoffs,Marcus Smart,BOS,18,537.8,47,134,29,73,32,50,23,62,85,85,27,16,155,38,51,0.28821123094087026,0.15805132019338045,0.15805132019338045,0.0502045370026032,0.02975083674228338,0.07065823726292303,0.3972602739726027,0.64,0.35074626865671643
NBA,2016 - 2017,Playoffs,Giannis Antetokounmpo,MIL,6,243.0,60,112,4,10,25,46,10,47,57,24,13,10,149,20,21,0.6131687242798354,0.2345679012345679,0.09876543209876543,0.053497942386831275,0.0411522633744856,0.0823045267489712,0.4,0.5434782608695652,0.5357142857142857
NBA,2016 - 2017,Playoffs,Tristan Thompson,CLE,18,561.5,54,92,0,0,40,60,69,81,150,26,9,13,148,21,36,0.26357969723953695,0.26714158504007124,0.04630454140694568,0.016028495102404273,0.02315227070347284,0.037399821905609976,0.0,0.6666666666666666,0.5869565217391305
